,matchday,date,home_team,final_result,away_team
0,1,1969-08-16,Alemannia Aachen,0-0,TSV 1860 München
1,1,1969-08-16,FC Schalke 04,2-0,Bor. Mönchengladbach
2,1,1969-08-16,Hertha BSC,1-0,MSV Duisburg
3,1,1969-08-16,Rot-Weiß Oberhausen,3-1,Eintracht Frankfurt
4,1,1969-08-16,VfB Stuttgart,1-1,Werder Bremen
5,1,1969-08-16,Hamburger SV,2-1,1. FC Kaiserslautern
6,1,1969-08-16,1. FC Köln,3-2,Eintracht Braunschweig
7,1,1969-08-16,Hannover 96,4-2,Borussia Dortmund
8,1,1969-08-16,Bayern München,4-0,Rot-Weiss Essen
9,2,1969-08-22,Eintracht Frankfurt,2-1,FC Schalke 04
10,2,1969-08-23,Werder Bremen,2-1,1. FC Köln
11,2,1969-08-23,TSV 1860 München,2-0,Hertha BSC
12,2,1969-08-23,Bor. Mönchengladbach,2-1,Bayern München
13,2,1969-08-23,Rot-Weiss Essen,2-0,Alemannia Aachen
14,2,1969-08-23,MSV Duisburg,1-1,VfB Stuttgart
15,2,1969-08-23,Eintracht Braunschweig,1-1,Hannover 96
16,2,1969-08-23,Borussia Dortmund,2-1,Hamburger SV
17,2,1969-08-23,1. FC Kaiserslautern,0-0,Rot-Weiß Oberhausen
18,3,1969-08-27,Bayern München,2-1,Eintracht Frankfurt
19,3,1969-08-29,1. FC Köln,6-2,MSV Duisburg
20,3,1969-08-30,Hannover 96,3-2,Werder Bremen
21,3,1969-08-30,Rot-Weiß Oberhausen,2-1,Borussia Dortmund
22,3,1969-08-30,VfB Stuttgart,3-1,TSV 1860 München
23,3,1969-08-30,Hamburger SV,3-3,Eintracht Braunschweig
24,3,1969-08-30,Bor. Mönchengladbach,2-1,Rot-Weiss Essen
25,3,1969-08-30,FC Schalke 04,4-2,1. FC Kaiserslautern
26,3,1969-08-30,Hertha BSC,2-1,Alemannia Aachen
27,4,1969-09-05,Eintracht Frankfurt,1-2,Bor. Mönchengladbach
28,4,1969-09-05,MSV Duisburg,1-0,Hannover 96
29,4,1969-09-06,Rot-Weiss Essen,5-2,Hertha BSC
30,4,1969-09-06,TSV 1860 München,1-0,1. FC Köln
31,4,1969-09-06,1. FC Kaiserslautern,0-0,Bayern München
32,4,1969-09-06,Eintracht Braunschweig,0-4,Rot-Weiß Oberhausen
33,4,1969-09-06,Werder Bremen,1-1,Hamburger SV
34,4,1969-09-06,Alemannia Aachen,4-2,VfB Stuttgart
35,4,1969-09-06,Borussia Dortmund,1-1,FC Schalke 04
36,5,1969-09-12,Eintracht Frankfurt,2-1,Rot-Weiss Essen
37,5,1969-09-12,Bor. Mönchengladbach,1-1,1. FC Kaiserslautern
38,5,1969-09-12,Bayern München,3-0,Borussia Dortmund
39,5,1969-09-13,VfB Stuttgart,1-4,Hertha BSC
40,5,1969-09-13,Hamburger SV,4-1,MSV Duisburg
41,5,1969-09-13,FC Schalke 04,1-1,Eintracht Braunschweig
42,5,1969-09-13,1. FC Köln,3-0,Alemannia Aachen
43,5,1969-09-13,Hannover 96,3-1,TSV 1860 München
44,5,1969-09-13,Rot-Weiß Oberhausen,3-1,Werder Bremen
45,6,1969-09-26,Hertha BSC,1-0,1. FC Köln
46,6,1969-09-26,MSV Duisburg,2-1,Rot-Weiß Oberhausen
47,6,1969-09-27,Werder Bremen,0-1,FC Schalke 04
48,6,1969-09-27,Eintracht Braunschweig,0-4,Bayern München
49,6,1969-09-27,TSV 1860 München,0-2,Hamburger SV
50,6,1969-09-27,Rot-Weiss Essen,3-3,VfB Stuttgart
51,6,1969-09-27,1. FC Kaiserslautern,2-0,Eintracht Frankfurt
52,6,1969-09-27,Borussia Dortmund,2-1,Bor. Mönchengladbach
53,6,1969-09-27,Alemannia Aachen,1-1,Hannover 96
54,7,1969-10-03,Eintracht Frankfurt,2-0,Borussia Dortmund
55,7,1969-10-04,1. FC Köln,3-1,VfB Stuttgart
56,7,1969-10-04,Hannover 96,2-1,Hertha BSC
57,7,1969-10-04,Bor. Mönchengladbach,1-0,Eintracht Braunschweig
58,7,1969-10-04,Hamburger SV,4-1,Alemannia Aachen
59,7,1969-10-04,1. FC Kaiserslautern,0-0,Rot-Weiss Essen
60,7,1969-10-04,Bayern München,4-1,Werder Bremen
61,7,1969-10-04,Rot-Weiß Oberhausen,3-0,TSV 1860 München
62,7,1969-10-04,FC Schalke 04,0-0,MSV Duisburg
63,8,1969-10-10,MSV Duisburg,4-2,Bayern München
64,8,1969-10-10,TSV 1860 München,0-2,FC Schalke 04
65,8,1969-10-11,Werder Bremen,0-0,Bor. Mönchengladbach
66,8,1969-10-11,Alemannia Aachen,2-0,Rot-Weiß Oberhausen
67,8,1969-10-11,Borussia Dortmund,5-1,1. FC Kaiserslautern
68,8,1969-10-11,Hertha BSC,1-0,Hamburger SV
69,8,1969-10-11,Eintracht Braunschweig,3-1,Eintracht Frankfurt
70,8,1969-10-11,VfB Stuttgart,2-1,Hannover 96
71,8,1969-10-11,Rot-Weiss Essen,0-0,1. FC Köln
72,9,1969-10-15,Bor. Mönchengladbach,4-1,MSV Duisburg
73,9,1969-10-15,Eintracht Frankfurt,2-1,Werder Bremen
74,9,1969-10-15,Hamburger SV,1-3,VfB Stuttgart
75,9,1969-10-15,1. FC Kaiserslautern,2-0,Eintracht Braunschweig
76,9,1969-10-15,Rot-Weiß Oberhausen,3-1,Hertha BSC
77,9,1969-10-15,Hannover 96,3-4,1. FC Köln
78,9,1969-10-15,FC Schalke 04,3-0,Alemannia Aachen
79,9,1969-10-15,Borussia Dortmund,4-1,Rot-Weiss Essen
80,9,1969-10-18,Bayern München,2-0,TSV 1860 München
81,10,1969-10-24,MSV Duisburg,1-1,Eintracht Frankfurt
82,10,1969-10-25,Eintracht Braunschweig,1-1,Borussia Dortmund
83,10,1969-10-25,Werder Bremen,3-2,1. FC Kaiserslautern
84,10,1969-10-25,1. FC Köln,3-0,Hamburger SV
85,10,1969-10-25,VfB Stuttgart,4-2,Rot-Weiß Oberhausen
86,10,1969-10-25,Rot-Weiss Essen,1-0,Hannover 96
87,10,1969-10-25,Hertha BSC,3-0,FC Schalke 04
88,10,1969-10-25,TSV 1860 München,0-3,Bor. Mönchengladbach
89,10,1969-10-25,Alemannia Aachen,1-3,Bayern München
90,11,1969-10-30,Bayern München,1-2,Hertha BSC
91,11,1969-10-31,Borussia Dortmund,2-1,Werder Bremen
92,11,1969-10-31,FC Schalke 04,1-2,VfB Stuttgart
93,11,1969-10-31,Bor. Mönchengladbach,5-1,Alemannia Aachen
94,11,1969-11-01,Eintracht Frankfurt,4-3,TSV 1860 München
95,11,1969-11-01,1. FC Kaiserslautern,0-2,MSV Duisburg
96,11,1969-11-01,Eintracht Braunschweig,0-0,Rot-Weiss Essen
97,11,1969-11-01,Hamburger SV,2-0,Hannover 96
98,11,1969-11-02,Rot-Weiß Oberhausen,0-2,1. FC Köln
99,12,1969-11-07,TSV 1860 München,0-1,1. FC Kaiserslautern
100,12,1969-11-07,MSV Duisburg,0-1,Borussia Dortmund
101,12,1969-11-08,Hannover 96,2-1,Rot-Weiß Oberhausen
102,12,1969-11-08,Werder Bremen,0-1,Eintracht Braunschweig
103,12,1969-11-08,Rot-Weiss Essen,2-2,Hamburger SV
104,12,1969-11-08,1. FC Köln,8-0,FC Schalke 04
105,12,1969-11-08,Alemannia Aachen,2-1,Eintracht Frankfurt
106,12,1969-11-08,Hertha BSC,1-1,Bor. Mönchengladbach
107,12,1969-11-08,VfB Stuttgart,2-3,Bayern München
108,13,1969-11-15,Eintracht Braunschweig,2-1,MSV Duisburg
109,13,1969-11-15,Rot-Weiß Oberhausen,1-3,Hamburger SV
110,13,1969-11-15,Werder Bremen,2-1,Rot-Weiss Essen
111,13,1969-11-15,FC Schalke 04,2-0,Hannover 96
112,13,1969-11-15,1. FC Kaiserslautern,3-1,Alemannia Aachen
113,13,1969-11-15,Bor. Mönchengladbach,3-0,VfB Stuttgart
114,13,1969-11-15,Bayern München,1-2,1. FC Köln
115,13,1969-11-15,Borussia Dortmund,3-1,TSV 1860 München
116,13,1969-11-15,Eintracht Frankfurt,1-1,Hertha BSC
117,14,1969-11-28,Alemannia Aachen,3-1,Borussia Dortmund
118,14,1969-11-28,MSV Duisburg,1-1,Werder Bremen
119,14,1969-11-29,Rot-Weiss Essen,1-0,Rot-Weiß Oberhausen
120,14,1969-11-29,Hannover 96,0-1,Bayern München
121,14,1969-11-29,TSV 1860 München,1-0,Eintracht Braunschweig
122,14,1969-11-29,VfB Stuttgart,4-0,Eintracht Frankfurt
123,14,1969-11-29,1. FC Köln,0-1,Bor. Mönchengladbach
124,14,1969-11-29,Hertha BSC,3-0,1. FC Kaiserslautern
125,14,1969-11-29,Hamburger SV,1-1,FC Schalke 04
126,15,1969-12-05,Eintracht Braunschweig,3-0,Alemannia Aachen
127,15,1969-12-05,Borussia Dortmund,0-0,Hertha BSC
128,15,1969-12-05,Bor. Mönchengladbach,5-0,Hannover 96
129,15,1969-12-06,Rot-Weiss Essen,0-0,MSV Duisburg
130,15,1969-12-06,Bayern München,2-1,Hamburger SV
131,15,1969-12-06,Eintracht Frankfurt,0-0,1. FC Köln
132,15,1969-12-06,Rot-Weiß Oberhausen,0-3,FC Schalke 04
133,15,1969-12-06,Werder Bremen,1-1,TSV 1860 München
134,15,1969-12-06,1. FC Kaiserslautern,3-2,VfB Stuttgart
135,16,1969-12-12,Alemannia Aachen,0-0,Werder Bremen
136,16,1969-12-12,Hertha BSC,2-0,Eintracht Braunschweig
137,16,1969-12-13,Hamburger SV,1-3,Bor. Mönchengladbach
138,16,1969-12-13,Hannover 96,1-1,Eintracht Frankfurt
139,16,1969-12-13,VfB Stuttgart,2-1,Borussia Dortmund
140,16,1969-12-13,FC Schalke 04,5-3,Rot-Weiss Essen
141,16,1969-12-13,1. FC Köln,6-1,1. FC Kaiserslautern
142,16,1969-12-13,TSV 1860 München,2-2,MSV Duisburg
143,16,1969-12-13,Rot-Weiß Oberhausen,3-3,Bayern München
144,17,1969-12-19,Borussia Dortmund,1-0,1. FC Köln
145,17,1969-12-19,1. FC Kaiserslautern,5-2,Hannover 96
146,17,1969-12-19,Bor. Mönchengladbach,6-1,Rot-Weiß Oberhausen
147,17,1969-12-20,Eintracht Braunschweig,1-0,VfB Stuttgart
148,17,1969-12-20,Eintracht Frankfurt,2-2,Hamburger SV
149,17,1969-12-20,Werder Bremen,1-0,Hertha BSC
150,17,1969-12-20,MSV Duisburg,2-1,Alemannia Aachen
151,17,1969-12-20,Rot-Weiss Essen,3-0,TSV 1860 München
152,19,1970-01-17,Alemannia Aachen,0-0,Rot-Weiss Essen
153,19,1970-01-17,FC Schalke 04,0-0,Eintracht Frankfurt
154,19,1970-01-17,Rot-Weiß Oberhausen,0-0,1. FC Kaiserslautern
155,20,1970-01-24,TSV 1860 München,4-1,VfB Stuttgart
156,20,1970-01-24,Alemannia Aachen,2-4,Hertha BSC
157,20,1970-01-24,Borussia Dortmund,3-2,Rot-Weiß Oberhausen
158,21,1970-01-31,VfB Stuttgart,5-0,Alemannia Aachen
159,21,1970-01-31,Rot-Weiß Oberhausen,2-1,Eintracht Braunschweig
160,21,1970-01-31,1. FC Köln,2-1,TSV 1860 München
161,21,1970-01-31,Bor. Mönchengladbach,1-2,Eintracht Frankfurt
162,21,1970-01-31,Hannover 96,0-0,MSV Duisburg
163,21,1970-01-31,Bayern München,1-1,1. FC Kaiserslautern
164,21,1970-01-31,FC Schalke 04,1-1,Borussia Dortmund
165,22,1970-02-07,Borussia Dortmund,1-3,Bayern München
166,22,1970-02-07,1. FC Kaiserslautern,1-4,Bor. Mönchengladbach
167,22,1970-02-07,Werder Bremen,1-1,Rot-Weiß Oberhausen
168,22,1970-02-07,Alemannia Aachen,1-3,1. FC Köln
169,22,1970-02-07,TSV 1860 München,3-0,Hannover 96
170,22,1970-02-07,MSV Duisburg,0-0,Hamburger SV
171,22,1970-02-07,Rot-Weiss Essen,1-1,Eintracht Frankfurt
172,23,1970-02-14,Bayern München,5-1,Eintracht Braunschweig
173,23,1970-02-14,VfB Stuttgart,4-1,Rot-Weiss Essen
174,23,1970-02-14,1. FC Köln,5-1,Hertha BSC
175,23,1970-02-14,Eintracht Frankfurt,2-1,1. FC Kaiserslautern
176,23,1970-02-14,Hamburger SV,0-1,TSV 1860 München
177,23,1970-02-14,Bor. Mönchengladbach,4-2,Borussia Dortmund
178,22,1970-02-18,Eintracht Braunschweig,3-0,FC Schalke 04
179,24,1970-02-21,VfB Stuttgart,0-3,1. FC Köln
180,24,1970-02-21,TSV 1860 München,4-1,Rot-Weiß Oberhausen
181,24,1970-02-21,MSV Duisburg,2-0,FC Schalke 04
182,21,1970-02-25,Hertha BSC,4-0,Rot-Weiss Essen
183,17,1970-02-25,Bayern München,6-0,FC Schalke 04
184,25,1970-02-28,FC Schalke 04,3-1,TSV 1860 München
185,25,1970-02-28,Bayern München,2-0,MSV Duisburg
186,25,1970-02-28,1. FC Kaiserslautern,2-2,Borussia Dortmund
187,25,1970-02-28,1. FC Köln,5-2,Rot-Weiss Essen
188,25,1970-02-28,Bor. Mönchengladbach,1-0,Werder Bremen
189,25,1970-02-28,Eintracht Frankfurt,0-0,Eintracht Braunschweig
190,25,1970-02-28,Hannover 96,2-0,VfB Stuttgart
191,25,1970-02-28,Rot-Weiß Oberhausen,1-0,Alemannia Aachen
192,19,1970-03-03,Hannover 96,0-2,Eintracht Braunschweig
193,20,1970-03-03,Eintracht Frankfurt,2-1,Bayern München
194,26,1970-03-07,Werder Bremen,3-2,Eintracht Frankfurt
195,26,1970-03-07,VfB Stuttgart,1-1,Hamburger SV
196,26,1970-03-07,MSV Duisburg,0-1,Bor. Mönchengladbach
197,26,1970-03-07,Alemannia Aachen,1-2,FC Schalke 04
198,26,1970-03-07,1. FC Köln,5-0,Hannover 96
199,26,1970-03-07,TSV 1860 München,2-1,Bayern München
200,26,1970-03-07,Eintracht Braunschweig,1-0,1. FC Kaiserslautern
201,26,1970-03-07,Rot-Weiss Essen,3-3,Borussia Dortmund
202,18,1970-03-10,MSV Duisburg,1-3,Hertha BSC
203,18,1970-03-10,Werder Bremen,1-1,VfB Stuttgart
204,18,1970-03-10,Eintracht Braunschweig,1-2,1. FC Köln
205,18,1970-03-10,TSV 1860 München,0-0,Alemannia Aachen
206,18,1970-03-10,Rot-Weiss Essen,1-1,Bayern München
207,18,1970-03-10,Borussia Dortmund,2-1,Hannover 96
208,18,1970-03-11,Bor. Mönchengladbach,2-0,FC Schalke 04
209,27,1970-03-14,Eintracht Frankfurt,0-1,MSV Duisburg
210,27,1970-03-14,Rot-Weiß Oberhausen,3-0,VfB Stuttgart
211,27,1970-03-14,1. FC Kaiserslautern,1-0,Werder Bremen
212,27,1970-03-14,Bayern München,6-0,Alemannia Aachen
213,27,1970-03-14,Bor. Mönchengladbach,3-1,TSV 1860 München
214,27,1970-03-14,FC Schalke 04,1-3,Hertha BSC
215,27,1970-03-14,Hannover 96,3-0,Rot-Weiss Essen
216,27,1970-03-14,Borussia Dortmund,2-2,Eintracht Braunschweig
217,27,1970-03-14,Hamburger SV,2-5,1. FC Köln
218,19,1970-03-18,VfB Stuttgart,4-3,MSV Duisburg
219,19,1970-03-18,Hamburger SV,4-3,Borussia Dortmund
220,19,1970-03-18,1. FC Köln,3-0,Werder Bremen
221,18,1970-03-18,Eintracht Frankfurt,5-1,Rot-Weiß Oberhausen
222,28,1970-03-21,Hertha BSC,0-4,Bayern München
223,28,1970-03-21,Werder Bremen,1-3,Borussia Dortmund
224,28,1970-03-21,VfB Stuttgart,2-0,FC Schalke 04
225,28,1970-03-21,1. FC Köln,0-1,Rot-Weiß Oberhausen
226,28,1970-03-21,Alemannia Aachen,0-3,Bor. Mönchengladbach
227,28,1970-03-21,MSV Duisburg,0-0,1. FC Kaiserslautern
228,28,1970-03-21,Hannover 96,1-1,Hamburger SV
229,24,1970-03-24,Eintracht Braunschweig,0-1,Bor. Mönchengladbach
230,19,1970-03-25,Hertha BSC,4-2,TSV 1860 München
231,23,1970-03-25,FC Schalke 04,0-0,Werder Bremen
232,29,1970-03-28,Rot-Weiß Oberhausen,0-0,Hannover 96
233,29,1970-03-28,FC Schalke 04,1-0,1. FC Köln
234,29,1970-03-28,1. FC Kaiserslautern,3-2,TSV 1860 München
235,29,1970-03-28,Bayern München,1-2,VfB Stuttgart
236,29,1970-03-28,Bor. Mönchengladbach,1-1,Hertha BSC
237,29,1970-03-28,Borussia Dortmund,3-1,MSV Duisburg
238,29,1970-03-28,Eintracht Braunschweig,1-2,Werder Bremen
239,29,1970-03-28,Hamburger SV,1-0,Rot-Weiss Essen
240,29,1970-03-30,Eintracht Frankfurt,6-2,Alemannia Aachen
241,26,1970-04-01,Hertha BSC,1-0,Rot-Weiß Oberhausen
242,20,1970-04-01,Werder Bremen,1-0,Hannover 96
243,18,1970-04-01,1. FC Kaiserslautern,1-1,Hamburger SV
244,30,1970-04-04,Hannover 96,3-1,FC Schalke 04
245,30,1970-04-04,VfB Stuttgart,0-0,Bor. Mönchengladbach
246,30,1970-04-04,Hertha BSC,2-0,Eintracht Frankfurt
247,30,1970-04-04,MSV Duisburg,1-0,Eintracht Braunschweig
248,30,1970-04-04,1. FC Köln,0-2,Bayern München
249,30,1970-04-04,Hamburger SV,2-1,Rot-Weiß Oberhausen
250,24,1970-04-07,Alemannia Aachen,0-2,Hamburger SV
251,24,1970-04-07,Hertha BSC,1-1,Hannover 96
252,30,1970-04-08,TSV 1860 München,3-0,Borussia Dortmund
253,31,1970-04-11,Borussia Dortmund,3-1,Alemannia Aachen
254,31,1970-04-11,Eintracht Braunschweig,2-2,TSV 1860 München
255,31,1970-04-11,Werder Bremen,0-0,MSV Duisburg
256,31,1970-04-11,Bayern München,7-2,Hannover 96
257,31,1970-04-11,Rot-Weiß Oberhausen,1-1,Rot-Weiss Essen
258,31,1970-04-11,Bor. Mönchengladbach,2-0,1. FC Köln
259,31,1970-04-11,1. FC Kaiserslautern,1-0,Hertha BSC
260,31,1970-04-11,Eintracht Frankfurt,4-0,VfB Stuttgart
261,31,1970-04-11,FC Schalke 04,1-1,Hamburger SV
262,20,1970-04-14,MSV Duisburg,1-1,1. FC Köln
263,21,1970-04-14,Hamburger SV,2-2,Werder Bremen
264,30,1970-04-15,Alemannia Aachen,1-1,1. FC Kaiserslautern
265,28,1970-04-15,Rot-Weiss Essen,1-1,Eintracht Braunschweig
266,19,1970-04-15,Bayern München,1-0,Bor. Mönchengladbach
267,24,1970-04-15,Borussia Dortmund,2-1,Eintracht Frankfurt
268,32,1970-04-18,MSV Duisburg,0-1,Rot-Weiss Essen
269,32,1970-04-18,1. FC Köln,1-2,Eintracht Frankfurt
270,32,1970-04-18,FC Schalke 04,2-2,Rot-Weiß Oberhausen
271,32,1970-04-18,TSV 1860 München,0-1,Werder Bremen
272,32,1970-04-18,Hamburger SV,1-3,Bayern München
273,32,1970-04-18,VfB Stuttgart,2-1,1. FC Kaiserslautern
274,32,1970-04-18,Hertha BSC,9-1,Borussia Dortmund
275,32,1970-04-18,Hannover 96,1-0,Bor. Mönchengladbach
276,32,1970-04-18,Alemannia Aachen,1-1,Eintracht Braunschweig
277,20,1970-04-21,Eintracht Braunschweig,3-0,Hamburger SV
278,20,1970-04-21,Rot-Weiss Essen,1-0,Bor. Mönchengladbach
279,20,1970-04-21,1. FC Kaiserslautern,1-1,FC Schalke 04
280,24,1970-04-21,Werder Bremen,1-0,Bayern München
281,28,1970-04-21,TSV 1860 München,1-1,Eintracht Frankfurt
282,22,1970-04-22,Hertha BSC,3-1,VfB Stuttgart
283,23,1970-04-22,Rot-Weiß Oberhausen,2-0,MSV Duisburg
284,23,1970-04-22,Hannover 96,5-0,Alemannia Aachen
285,33,1970-04-24,Rot-Weiss Essen,1-1,FC Schalke 04
286,25,1970-04-25,Hamburger SV,1-0,Hertha BSC
287,33,1970-04-25,1. FC Kaiserslautern,3-2,1. FC Köln
288,30,1970-04-27,Rot-Weiss Essen,3-2,Werder Bremen
289,24,1970-04-30,Rot-Weiss Essen,1-1,1. FC Kaiserslautern
290,33,1970-04-30,Werder Bremen,4-1,Alemannia Aachen
291,33,1970-04-30,Eintracht Braunschweig,1-2,Hertha BSC
292,33,1970-04-30,Bor. Mönchengladbach,4-3,Hamburger SV
293,33,1970-04-30,Eintracht Frankfurt,3-3,Hannover 96
294,33,1970-04-30,MSV Duisburg,2-1,TSV 1860 München
295,33,1970-04-30,Bayern München,6-2,Rot-Weiß Oberhausen
296,33,1970-04-30,Borussia Dortmund,0-0,VfB Stuttgart
297,34,1970-05-03,1. FC Köln,5-2,Borussia Dortmund
298,34,1970-05-03,Hannover 96,4-2,1. FC Kaiserslautern
299,34,1970-05-03,Rot-Weiß Oberhausen,3-4,Bor. Mönchengladbach
300,34,1970-05-03,VfB Stuttgart,3-2,Eintracht Braunschweig
301,34,1970-05-03,Hamburger SV,5-1,Eintracht Frankfurt
302,34,1970-05-03,Hertha BSC,4-1,Werder Bremen
303,34,1970-05-03,Alemannia Aachen,3-2,MSV Duisburg
304,34,1970-05-03,TSV 1860 München,0-0,Rot-Weiss Essen
305,34,1970-05-03,FC Schalke 04,2-2,Bayern München
306,1,1963-08-24,Werder Bremen,3-2,Borussia Dortmund
307,1,1963-08-24,1. FC Saarbrücken,0-2,1. FC Köln
308,1,1963-08-24,TSV 1860 München,1-1,Eintracht Braunschweig
309,1,1963-08-24,Eintracht Frankfurt,1-1,1. FC Kaiserslautern
310,1,1963-08-24,FC Schalke 04,2-0,VfB Stuttgart
311,1,1963-08-24,Preussen Münster,1-1,Hamburger SV
312,1,1963-08-24,Karlsruher SC,1-4,MSV Duisburg
313,1,1963-08-24,Hertha BSC,1-1,1. FC Nürnberg
314,2,1963-08-31,Borussia Dortmund,3-3,TSV 1860 München
315,2,1963-08-31,Hamburger SV,4-2,1. FC Saarbrücken
316,2,1963-08-31,1. FC Nürnberg,3-0,Werder Bremen
317,2,1963-08-31,1. FC Köln,4-0,Karlsruher SC
318,2,1963-08-31,1. FC Kaiserslautern,2-3,FC Schalke 04
319,2,1963-08-31,VfB Stuttgart,2-0,Hertha BSC
320,2,1963-08-31,MSV Duisburg,3-1,Eintracht Frankfurt
321,2,1963-08-31,Eintracht Braunschweig,1-0,Preussen Münster
322,3,1963-09-07,TSV 1860 München,1-3,1. FC Köln
323,3,1963-09-07,Karlsruher SC,0-4,Hamburger SV
324,3,1963-09-07,Eintracht Frankfurt,2-3,1. FC Nürnberg
325,3,1963-09-07,FC Schalke 04,3-1,Borussia Dortmund
326,3,1963-09-07,Werder Bremen,2-2,VfB Stuttgart
327,3,1963-09-07,Hertha BSC,2-2,1. FC Kaiserslautern
328,3,1963-09-07,Preussen Münster,4-2,MSV Duisburg
329,3,1963-09-07,1. FC Saarbrücken,2-2,Eintracht Braunschweig
330,4,1963-09-14,1. FC Köln,2-2,FC Schalke 04
331,4,1963-09-14,1. FC Nürnberg,2-2,Preussen Münster
332,4,1963-09-14,Borussia Dortmund,2-1,1. FC Saarbrücken
333,4,1963-09-14,Hamburger SV,3-0,Eintracht Frankfurt
334,4,1963-09-14,VfB Stuttgart,1-1,TSV 1860 München
335,4,1963-09-14,1. FC Kaiserslautern,3-0,Werder Bremen
336,4,1963-09-14,MSV Duisburg,1-3,Hertha BSC
337,4,1963-09-14,Eintracht Braunschweig,2-0,Karlsruher SC
338,5,1963-09-21,FC Schalke 04,1-0,Hamburger SV
339,5,1963-09-21,1. FC Saarbrücken,3-5,1. FC Nürnberg
340,5,1963-09-21,Hertha BSC,0-3,1. FC Köln
341,5,1963-09-21,Karlsruher SC,1-3,Borussia Dortmund
342,5,1963-09-21,TSV 1860 München,3-0,1. FC Kaiserslautern
343,5,1963-09-21,Eintracht Frankfurt,3-0,Eintracht Braunschweig
344,5,1963-09-21,Preussen Münster,4-2,VfB Stuttgart
345,5,1963-09-21,Werder Bremen,1-1,MSV Duisburg
346,6,1963-10-05,1. FC Köln,4-3,Werder Bremen
347,6,1963-10-05,1. FC Kaiserslautern,0-0,Preussen Münster
348,6,1963-10-05,MSV Duisburg,3-0,TSV 1860 München
349,6,1963-10-05,VfB Stuttgart,3-1,1. FC Saarbrücken
350,6,1963-10-05,1. FC Nürnberg,2-4,Karlsruher SC
351,6,1963-10-05,Hamburger SV,5-1,Hertha BSC
352,6,1963-10-05,Eintracht Braunschweig,4-3,FC Schalke 04
353,6,1963-10-05,Borussia Dortmund,3-0,Eintracht Frankfurt
354,7,1963-10-12,Eintracht Frankfurt,2-1,1. FC Köln
355,7,1963-10-12,Hertha BSC,1-2,Eintracht Braunschweig
356,7,1963-10-12,TSV 1860 München,5-0,1. FC Nürnberg
357,7,1963-10-12,Karlsruher SC,0-3,VfB Stuttgart
358,7,1963-10-12,FC Schalke 04,2-2,MSV Duisburg
359,7,1963-10-12,1. FC Saarbrücken,2-4,1. FC Kaiserslautern
360,7,1963-10-12,Werder Bremen,4-2,Hamburger SV
361,7,1963-10-12,Preussen Münster,1-2,Borussia Dortmund
362,8,1963-10-19,Hamburger SV,5-0,TSV 1860 München
363,8,1963-10-19,1. FC Köln,3-0,Preussen Münster
364,8,1963-10-19,1. FC Nürnberg,0-2,FC Schalke 04
365,8,1963-10-19,VfB Stuttgart,0-0,Eintracht Frankfurt
366,8,1963-10-19,MSV Duisburg,3-1,1. FC Saarbrücken
367,8,1963-10-19,1. FC Kaiserslautern,1-0,Karlsruher SC
368,8,1963-10-19,Eintracht Braunschweig,1-1,Werder Bremen
369,8,1963-10-19,Borussia Dortmund,7-2,Hertha BSC
370,9,1963-10-26,VfB Stuttgart,2-1,Borussia Dortmund
371,9,1963-10-26,FC Schalke 04,2-3,Werder Bremen
372,9,1963-10-26,Hamburger SV,2-1,Eintracht Braunschweig
373,9,1963-10-26,1. FC Köln,3-3,MSV Duisburg
374,9,1963-10-26,1. FC Nürnberg,0-5,1. FC Kaiserslautern
375,9,1963-10-26,Preussen Münster,0-0,TSV 1860 München
376,9,1963-10-26,Hertha BSC,1-3,Eintracht Frankfurt
377,9,1963-10-26,1. FC Saarbrücken,1-3,Karlsruher SC
378,10,1963-11-08,Eintracht Braunschweig,1-1,1. FC Köln
379,10,1963-11-09,Eintracht Frankfurt,4-2,FC Schalke 04
380,10,1963-11-09,MSV Duisburg,4-0,Hamburger SV
381,10,1963-11-09,1. FC Kaiserslautern,1-3,VfB Stuttgart
382,10,1963-11-09,TSV 1860 München,7-1,1. FC Saarbrücken
383,10,1963-11-09,Karlsruher SC,4-2,Preussen Münster
384,10,1963-11-09,Werder Bremen,2-2,Hertha BSC
385,10,1963-11-09,Borussia Dortmund,3-1,1. FC Nürnberg
386,11,1963-11-16,1. FC Köln,4-1,Hamburger SV
387,11,1963-11-16,Eintracht Braunschweig,0-0,MSV Duisburg
388,11,1963-11-16,1. FC Saarbrücken,1-1,Preussen Münster
389,11,1963-11-16,VfB Stuttgart,1-0,1. FC Nürnberg
390,11,1963-11-16,TSV 1860 München,1-0,Karlsruher SC
391,11,1963-11-16,Werder Bremen,4-1,Eintracht Frankfurt
392,11,1963-11-16,Borussia Dortmund,9-3,1. FC Kaiserslautern
393,11,1963-11-16,FC Schalke 04,1-0,Hertha BSC
394,12,1963-11-23,1. FC Nürnberg,2-2,1. FC Köln
395,12,1963-11-23,Hamburger SV,1-1,VfB Stuttgart
396,12,1963-11-23,MSV Duisburg,3-3,Borussia Dortmund
397,12,1963-11-23,Preussen Münster,2-2,FC Schalke 04
398,12,1963-11-23,1. FC Kaiserslautern,2-1,Eintracht Braunschweig
399,12,1963-11-23,Hertha BSC,3-2,1. FC Saarbrücken
400,12,1963-11-23,Karlsruher SC,1-1,Werder Bremen
