matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_form,away_form,home_goals_last_5,home_conceded_last_5,away_goals_last_5,away_conceded_last_5,home_goal_diff_last_5,away_goal_diff_last_5,goal_diff_last_5,home_h2h_wins,away_h2h_wins,h2h_draws,home_h2h_goals_scored,away_h2h_goals_scored,home_off,home_def,away_off,away_def,home_goals_exp,away_goals_exp
4,1963-09-14,33,1-3,30,1,3,2,2,0,1,0,2,1,6,2,4,6,5,16,-2,-11,9,0,0,1,1,1,0.0581305325966543,-0.2430082616967859,-1.166106971836484,-0.8262520477971547,2.867930593425453,1.738077911603356
4,1963-09-14,2,2-2,23,2,2,1,3,0,0,3,0,0,9,9,1,2,1,15,-1,-14,13,1,1,0,3,2,0.6081435901443949,-0.5385901277171795,0.7537949553066052,-0.8262520477971547,2.8868288833435582,1.835125710903532
4,1963-09-14,3,2-2,35,2,2,1,2,1,0,1,1,1,7,4,3,3,0,0,0,0,0,0,0,0,0,0,0.0581305325966543,-0.5385901277171795,-1.166106971836484,-1.75015032037593,2.8360898423509133,1.7206759817933024
4,1963-09-14,13,2-1,4,2,1,0,0,1,2,0,1,2,1,1,5,5,1,7,0,-6,6,1,0,0,2,1,0.0581305325966543,0.3481554703440013,0.1138276462589088,1.021544497360396,2.931237512590932,1.8500697437606128
4,1963-09-14,26,3-0,18,3,0,0,2,1,0,0,1,2,7,1,5,9,8,9,-4,-1,-3,1,0,1,6,2,0.6081435901443949,0.0525736043236076,-0.5261396627887875,0.0976462247816206,2.918470997206404,1.793688761372567
4,1963-09-14,52,1-1,50,1,1,1,1,1,1,0,2,1,4,2,13,5,8,8,8,0,8,2,0,2,7,3,-0.4918825249510862,-0.5385901277171795,0.7537949553066052,0.0976462247816206,2.8807819989998564,1.835125710903532
4,1963-09-14,1,3-0,56,3,0,0,0,2,1,1,1,1,2,4,3,1,10,9,2,1,1,2,2,3,5,6,-0.4918825249510862,0.3481554703440013,-1.166106971836484,0.0976462247816206,2.8807819989998564,1.7731255954298348
4,1963-09-14,16,2-0,32,2,0,0,1,2,0,0,0,3,5,0,0,3,8,8,-3,0,-3,0,0,0,0,0,-1.0418955824988267,-0.5385901277171795,-1.166106971836484,1.021544497360396,2.8936128349689385,1.7206759817933024
5,1963-09-21,17,3-0,17,3,0,0,0,1,3,2,2,0,1,8,5,9,0,0,-4,0,-4,4,4,0,7,7,-2.0203430762377623,0.113555465218083,0.2571590755085172,-2.48745314496841,2.738404390197986,1.8445369605970512
5,1963-09-21,55,1-1,34,1,1,1,1,1,2,2,0,2,4,6,7,8,9,11,-1,-2,1,1,1,0,3,4,-1.480825054420876,-0.1768077375168676,0.8726008443528586,-4.305618915068648,2.693782874454523,1.8642745866204744
5,1963-09-21,49,3-0,1,3,0,0,0,3,1,1,2,1,3,5,0,0,1,3,0,-2,2,0,2,2,5,10,-0.4263110677062676,-0.7740539862336306,0.8630828310406076,-4.335249690125961,2.72955992062665,1.8275045597541912
5,1963-09-21,31,1-3,14,1,3,2,0,0,4,1,1,2,0,4,6,5,13,7,1,6,-5,1,1,2,6,6,-0.3807989393253949,-0.2110974160970591,-1.009674398240542,-1.6281316237812025,2.825141812280473,1.7492090914788327
5,1963-09-21,34,4-2,53,4,2,0,1,2,1,1,2,1,5,5,0,0,4,6,0,-2,2,0,2,2,2,4,-2.580851169516357,1.285377887746049,-0.3959775523535256,0.207791529965948,2.812546920159089,1.8760703148346247
5,1963-09-21,4,3-5,3,3,5,2,0,1,3,2,2,0,1,8,3,3,1,2,0,-1,1,0,0,0,0,0,-2.0131983850955555,0.1074465109268512,-0.3828082335391791,-2.48745314496841,2.7386533184362576,1.805570981159507
5,1963-09-21,22,1-0,27,1,0,0,3,1,0,3,1,0,10,10,8,12,3,4,-4,-1,-3,0,2,2,4,7,-0.4192426268325042,0.1248251574203846,1.4628527612201838,-0.6396565998108594,2.8579220132483645,1.918856801078737
5,1963-09-21,29,0-3,2,0,3,2,1,2,1,3,1,0,5,10,3,9,1,2,-6,-1,-5,2,0,0,4,1,-1.480825054420876,0.1187741285035259,-0.394107214578092,-2.469823844628487,2.7578012590155123,1.8055727003762283
6,1963-10-05,16,4-3,23,4,3,0,2,2,1,4,1,0,8,13,1,4,2,11,-3,-9,6,1,0,1,4,3,-1.533394310123997,-1.0471907452321163,0.8593091104308238,-1.6455917211912323,2.784614184330691,1.8108262288295591
6,1963-10-05,26,5-1,30,5,1,0,3,1,1,1,2,2,10,5,1,10,6,10,-9,-4,-5,3,2,3,19,11,0.6529856062497192,-0.4776082668227042,-0.3585180886974345,-2.552029896359978,2.828939413376938,1.7720433270663956
6,1963-10-05,3,2-4,32,2,4,2,3,2,0,0,0,5,11,0,3,1,5,11,2,-6,8,1,2,1,3,4,-0.4017297979793798,-0.4560270131913294,-2.2672833496477467,0.1959371427783715,2.88725154136168,1.6613533584847493
6,1963-10-05,52,3-1,4,3,1,0,1,2,2,0,1,4,5,1,14,3,2,6,11,-4,15,1,0,0,1,0,-1.526337182801749,-0.7854381437076532,-0.4301892001584353,0.1611757681170781,2.8473677824879027,1.7495135941576512
6,1963-10-05,13,3-0,18,3,0,0,2,1,2,1,1,3,7,4,4,2,8,7,2,1,1,3,2,0,11,8,-0.4540622590066367,0.0968902692357615,-1.6740418326734847,0.1729707296276947,2.884667054551209,1.7281749045399808
6,1963-10-05,1,0-0,35,0,0,1,1,2,2,2,2,1,5,8,1,4,0,0,-3,0,-3,0,0,0,0,0,-0.4263110677062676,-0.1759483018416707,-0.987348731552354,-2.5226122814446,2.7925956279070165,1.7526124295514585
6,1963-10-05,2,4-3,56,4,3,0,4,1,0,1,2,2,13,5,2,5,9,9,-3,0,-3,4,0,2,16,7,0.1203761244949558,-0.4898562776872596,-2.3008493877473097,0.207791529965948,2.905554051600073,1.6574646226350742
6,1963-10-05,33,3-0,50,3,0,0,2,1,2,1,3,1,7,6,7,9,9,8,-2,1,-3,1,0,1,2,1,-0.9692556843802448,0.1299930239638461,0.2193418013831274,-1.6400050151916026,2.8043682723256165,1.8432418966637276
7,1963-10-12,17,2-1,2,2,1,0,1,0,4,4,1,0,3,13,6,2,2,3,4,-1,5,3,7,5,23,36,0.2653884046872194,-0.1369681713754227,0.3233007038205841,-1.466817438537014,2.85301182931654,1.833380616359256
7,1963-10-12,29,1-2,17,1,2,2,1,1,3,3,1,1,4,10,6,7,0,0,-1,0,-1,0,2,1,0,5,-1.876462075049491,1.0462531185631894,-1.538314635646438,-2.2459953973274733,2.7518230427611043,1.7925817272582762
7,1963-10-12,49,5-0,3,5,0,0,1,2,2,3,1,1,5,10,0,0,1,8,0,-7,7,3,1,0,7,4,-1.3775916078621588,-1.3142311941665523,0.8748144468336501,-2.356187538437104,2.7653431537017195,1.795733537962263
7,1963-10-12,31,0-3,53,0,3,2,1,0,4,2,2,1,3,8,5,7,5,1,-2,4,-6,2,2,2,4,6,-1.4411239940244909,-0.1467722504479981,-0.3064603443376772,-5.933187113114407,2.638200205127032,1.794906155588093
7,1963-10-12,22,2-2,34,2,2,1,3,1,1,2,1,2,10,7,8,11,6,9,-3,-3,0,3,1,0,9,3,-1.8694542976887256,-0.4262475289165487,2.276552265634688,-2.245765412958138,2.7520749456549867,1.935044288796517
7,1963-10-12,4,2-4,1,2,4,2,0,1,4,1,2,2,1,5,5,3,1,2,2,-1,3,1,1,1,5,4,-2.9624408095693497,0.1588920994566355,-1.5496147169278496,-2.2460568462121646,2.7139688390172165,1.7391634666942937
7,1963-10-12,55,4-2,27,4,2,0,0,2,3,4,0,1,2,12,6,1,0,5,5,-5,10,9,2,5,31,19,-1.3476125843577846,-0.4149204195091607,1.5994279809704364,-6.7944002594794695,2.611274437204526,1.894107011928795
7,1963-10-12,34,1-2,14,1,2,2,2,2,1,3,1,1,8,10,0,0,9,7,0,2,-2,0,0,0,0,0,-3.577775643021798,1.617591121362944,-0.8491764153806236,-0.542682173622101,2.751892639250229,1.8686956237712384
8,1963-10-19,16,1-1,56,1,1,1,3,1,1,1,2,2,10,5,1,8,7,10,-7,-3,-4,5,3,0,10,8,-1.4423874701676282,-1.0069807704764238,-2.780017275895696,0.2795266386992547,2.8543407885212657,1.6005223515802414
8,1963-10-19,13,7-2,30,7,2,0,4,0,1,1,1,3,12,4,7,4,4,11,3,-7,10,4,1,3,16,9,1.8470972776196608,-0.7058102740855825,-0.9602727551487302,-1.4592611999316385,2.9075965691198267,1.7229446299057418
8,1963-10-19,1,1-0,32,1,0,0,2,2,1,1,0,4,8,3,3,4,6,8,-1,-2,1,2,0,0,8,2,0.7223356868951363,-0.0930271656473415,-2.108963391895946,-5.102686558078933,2.7428439935491307,1.6915871795628603
8,1963-10-19,33,3-1,4,3,1,0,1,2,2,0,1,4,5,1,6,7,2,6,-1,-4,3,0,0,0,0,0,-0.8897297310576631,0.2352345250700748,1.620341448756872,-0.5226988655776121,2.8457377528488106,1.9353697081237904
8,1963-10-19,2,3-0,35,3,0,0,3,1,1,2,2,1,10,8,1,5,0,0,-4,0,-4,0,0,1,2,2,-1.962275127505858,-0.6939887541790265,-0.7706259516637992,-0.6237930236285404,2.8051716284103065,1.7348041844426287
8,1963-10-19,3,0-2,23,0,2,2,2,1,2,2,2,1,7,8,5,0,4,7,5,-3,8,4,1,1,9,6,-0.3906276330443605,-0.4139268938577816,-0.8526005791883462,-0.5461907707150684,2.8621254862471623,1.7465018791255442
8,1963-10-19,26,5-0,50,5,0,0,3,0,2,2,1,2,9,7,1,6,4,8,-5,-4,-1,2,0,1,8,4,-0.8649162415475659,-0.6956925429270491,-1.4416706349937445,1.21894825112348,2.906439486137611,1.69535394586878
8,1963-10-19,52,0-0,18,0,0,1,2,2,1,2,0,3,8,6,17,5,9,8,12,1,11,3,3,5,18,15,-0.86165567968871,-0.4148358553789879,-0.9098533981061746,0.3021924102163728,2.8751052163953896,1.7430634416431914
9,1963-10-26,4,1-3,32,1,3,2,0,0,5,1,0,4,0,3,4,4,6,8,0,-2,2,1,0,0,2,0,-3.012312174545438,-1.48006615376386,0.4299316624043368,-3.1788118667106016,2.6796332835693164,1.759322176845215
9,1963-10-26,29,1-3,18,1,3,2,1,0,4,2,1,2,3,7,5,7,8,6,-2,2,-4,5,2,1,20,9,-2.289974565533372,1.6987259307077025,-1.880843917306232,-2.2915879728250377,2.73583401936582,1.8111727043826344
9,1963-10-26,3,0-5,1,0,5,2,1,1,3,3,1,1,4,10,6,3,0,2,3,-2,5,4,9,1,15,28,-3.90514605125876,0.2359906486974267,-3.8042992583071937,-2.3575938851666822,2.6771280106985365,1.6129328545488175
